,DAC,BF_BOF_CCS,biomass_plant_CCS,cement_post_comb,natural_gas_turbine_CCS,NG_DRI_CCS,SMR_CCS,biomass_boiler,biomass_boiler_DH,hard_coal_boiler_DH,natural_gas_boiler,natural_gas_boiler_DH,oil_boiler,oil_boiler_DH,waste_boiler_DH,BF_BOF,biomass_to_cement_fuel,cement_kiln,coal_to_cement_fuel,H2_DRI,hydrogen_to_cement_fuel,NG_DRI,waste_to_cement_fuel,electrolysis,fuel_cell,HDT_FCEV,hydrogen_FC_ship,electrode_boiler,electrode_boiler_DH,reservoir_hydro,run-of-river_hydro,pumped_hydro,ammonia_ICE_ship,diesel_ICE_ship,HDT_diesel,ICE_diesel,ICE_petrol,methanol_ICE_ship,anaerobic_digestion,EAF,industrial_gas_consumer,oil_storage,power_line,district_heating_grid,carbon_pipeline,hydrogen_pipeline,natural_gas_pipeline,oil_pipeline,biomethane_conversion,fischer_tropsch,gasification,haber_bosch,lng_terminal,methanation,methanol_from_biomass,methanol_from_hydrogen,methanol_from_natural_gas,oil_to_diesel_conversion,oil_to_gasoline_conversion,oil_to_kerosene_conversion,oil_to_naphtha_conversion,olefin_from_methanol,olefin_from_naphtha,pyrolysis,refining,SMR,BEV,HDT_BET,battery,biomass_plant,hard_coal_plant,heat_pump,heat_pump_DH,lignite_coal_plant,natural_gas_turbine,nuclear,oil_plant,waste_plant,photovoltaics,carbon_storage,natural_gas_storage,salt_cavern_storage,wind_offshore,wind_onshore
pyrolysis,0.077151675,0.080582296,0.080582296,0.148249863,0.080582296,0.080582296,0.077151675,0.080582296,0.161164593,0.161164593,0,0.080582296,0.080582296,0.161164593,0.080582296,0.080582296,0.080582296,0.077151675,0.080582296,0.148249863,0,0.148249863,0,0.080582296,0.080582296,0,0.077151675,0.080582296,0.161164593,0.084515425,0.084515425,0.084515425,0,0,0,0,0,0,0.074124932,0.15430335,0,0.084515425,0.084515425,0.080582296,0,0,0,0.084515425,0.694365075,0.857142857,0.77151675,0.77151675,0.725240668,0.694365075,0.848668425,0.741249317,0.77151675,0.805822964,0.805822964,0.805822964,0.805822964,0.77151675,0.77151675,1.000001,0.77151675,0.77151675,0.080582296,0.080582296,0.084515425,0.161164593,0.161164593,0.080582296,0.161164593,0.080582296,0.080582296,0.080582296,0.161164593,0.080582296,0.084515425,0,0,0,0.084515425,0.084515425
refining,0,0,0,0,0,0,0,0,0,0,0,0,0.087038828,0.087038828,0,0,0,0,0,0.080064077,0.087038828,0,0,0.087038828,0.087038828,0.087038828,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091287093,0,0,0,0.091287093,0,0.091287093,0.75,0.848668425,0.75,0.833333333,0.783349452,0.833333333,0.75,0.800640769,0.75,0.87038828,0.87038828,0.87038828,0.87038828,0.75,0.75,0.77151675,1.000001,0.833333333,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0,0,0,0.091287093,0,0
SMR,0.083333333,0.087038828,0.087038828,0.080064077,0.087038828,0.087038828,0.166666667,0,0,0,0.087038828,0.087038828,0,0,0,0,0,0.083333333,0,0.160128154,0.087038828,0.160128154,0,0.174077656,0.174077656,0.087038828,0.166666667,0.087038828,0.087038828,0.091287093,0.091287093,0.091287093,0,0,0,0,0,0,0.080064077,0.083333333,0.087038828,0,0.091287093,0,0,0.091287093,0.091287093,0,0.833333333,0.848668425,0.833333333,0.916666667,0.87038828,0.916666667,0.75,0.880704846,0.916666667,0.783349452,0.783349452,0.783349452,0.783349452,0.833333333,0.833333333,0.77151675,0.833333333,1.000001,0.087038828,0.087038828,0.091287093,0.087038828,0.087038828,0.087038828,0.087038828,0.087038828,0.174077656,0.087038828,0.087038828,0.087038828,0.091287093,0,0.091287093,0.091287093,0.091287093,0.091287093
BEV,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0.090909091,0.090909091,0,0.083624201,0.087038828,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,1.000001,0.909090909,0.953462589,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0,0,0,0.095346259,0.095346259
HDT_BET,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0.090909091,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0.090909091,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.909090909,1.000001,0.953462589,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0,0,0,0.095346259,0.095346259
battery,0.091287093,0.095346259,0.095346259,0.087705802,0.095346259,0.095346259,0.091287093,0,0,0,0,0,0,0,0,0,0,0.091287093,0,0.087705802,0,0.087705802,0,0.095346259,0.095346259,0,0.091287093,0.095346259,0.095346259,0.1,0.1,0.1,0,0,0,0,0,0,0.087705802,0.091287093,0,0,0.1,0,0,0,0,0,0,0.084515425,0,0.091287093,0,0,0,0.087705802,0.091287093,0,0,0,0,0.091287093,0.091287093,0.084515425,0,0.091287093,0.953462589,0.953462589,1.000001,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.095346259,0.1,0,0,0,0.1,0.1
biomass_plant,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0.090909091,0.090909091,0,0,0,0,0,0,0,0.090909091,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0.087038828,0.087038828,0,0,0.087038828,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.161164593,0,0.087038828,0.090909091,0.090909091,0.095346259,1.000001,0.909090909,0.090909091,0.090909091,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.095346259,0,0,0,0.095346259,0.095346259
hard_coal_plant,0.087038828,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0,0,0.090909091,0,0,0,0,0,0.090909091,0,0.087038828,0.090909091,0.167248402,0,0.167248402,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.174077656,0,0,0.095346259,0,0,0,0,0,0,0.080582296,0,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.161164593,0,0.087038828,0.090909091,0.090909091,0.095346259,0.909090909,1.000001,0.090909091,0.090909091,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.095346259,0,0,0,0.095346259,0.095346259
heat_pump,0.174077656,0.090909091,0.090909091,0.083624201,0.090909091,0.090909091,0.087038828,0.090909091,0,0,0.090909091,0,0.090909091,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.181818182,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.167248402,0.087038828,0,0,0.095346259,0.090909091,0,0,0,0,0.087038828,0.080582296,0.087038828,0.087038828,0,0,0,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.090909091,0.090909091,1.000001,0.909090909,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0,0,0,0.095346259,0.095346259
heat_pump_DH,0.087038828,0.090909091,0.090909091,0.167248402,0.090909091,0.090909091,0.087038828,0,0.090909091,0.090909091,0,0.090909091,0,0.090909091,0.090909091,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.181818182,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0.090909091,0,0,0,0,0,0.161164593,0,0.087038828,0,0,0.087038828,0.083624201,0.087038828,0,0,0,0,0.087038828,0.087038828,0.161164593,0,0.087038828,0.090909091,0.090909091,0.095346259,0.090909091,0.090909091,0.909090909,1.000001,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0,0,0,0.095346259,0.095346259
